Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Aaden	M	0	0	0	0	0	0	0	0	0	0	0	0	226	307	112	70	56	51	59	75	0	63	0	0	0	0	0	0	0	0	0	0	0	0	343	271	556	797	917	981	902	783	0	888
Aadhya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	912
Aaliyah	F	0	0	0	0	0	0	0	0	0	0	0	194	947	1056	1164	1292	1392	1329	1222	1221	1173	1084	0	0	0	0	0	0	0	0	0	0	0	358	77	63	56	46	36	36	45	48	53	57
Aanya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0
Aarav	M	0	0	0	0	0	0	0	0	0	0	0	0	52	66	110	111	110	127	134	136	132	137	0	0	0	0	0	0	0	0	0	0	0	0	921	814	570	570	585	529	520	528	550	536
Aaron	M	395	344	365	335	277	222	200	277	678	3028	3669	3184	2003	1924	1855	1921	1902	1853	1848	1795	1811	1867	149	186	182	191	216	249	248	214	127	35	32	31	50	54	55	50	51	51	50	52	49	46
Aarush	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	971	0	0
Abagail	F	0	0	0	0	0	0	0	0	0	0	0	0	75	72	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	912	923	0	0	0	0	0	0	0
Abbey	F	0	0	0	0	0	0	0	0	0	0	98	140	82	75	74	73	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	456	822	882	887	901	990	0	0	0	0	0
Abbie	F	325	236	130	66	44	25	0	0	0	0	65	85	94	90	81	86	86	0	0	0	0	0	197	257	372	548	699	883	0	0	0	0	711	641	737	764	821	793	791	0	0	0	0	0
Abbigail	F	0	0	0	0	0	0	0	0	0	0	0	40	144	164	147	144	116	92	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	508	457	505	513	620	745	855	0	0	0
Abby	F	19	0	0	0	0	0	0	23	54	93	316	346	313	308	286	268	261	230	209	181	184	181	888	0	0	0	0	0	0	924	707	555	224	210	259	257	284	296	309	352	389	437	441	450
Abdiel	M	0	0	0	0	0	0	0	0	0	0	0	0	47	56	66	70	63	69	64	64	83	97	0	0	0	0	0	0	0	0	0	0	0	0	984	896	806	796	847	802	859	871	735	674
Abdul	M	0	0	0	0	0	0	0	0	0	29	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	0	933	0	0	0	0	0	0	0	0	0	0
Abdullah	M	0	0	0	0	0	0	0	0	0	0	0	0	49	62	56	74	77	94	104	99	103	86	0	0	0	0	0	0	0	0	0	0	0	0	953	835	899	762	746	652	630	654	645	722
Abe	M	192	209	199	154	67	33	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	247	260	317	497	739	835	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abel	M	46	49	40	41	39	44	41	52	69	105	125	161	204	234	281	381	491	568	643	812	767	700	588	599	735	684	679	607	576	517	476	432	391	377	360	328	292	237	193	179	164	125	137	146
Abigail	F	47	23	0	0	0	0	0	41	62	199	548	1815	3543	3473	3553	3343	3201	3149	3020	3107	2977	2749	593	893	0	0	0	0	0	740	647	345	148	42	8	8	7	7	7	8	8	7	8	10
Abigale	F	0	0	0	0	0	0	0	0	0	0	0	0	0	66	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972	912	0	0	0	0	0	0	0
Abigayle	F	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0
Abner	M	114	86	75	50	31	13	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	338	415	493	611	790	978	0	0	0	0	0	0	0	0	0	0	0	993	0	0	0	0
Abraham	M	336	352	398	443	230	117	75	72	70	153	229	322	503	502	477	486	490	560	592	612	651	599	172	185	170	155	251	347	425	433	473	350	260	233	187	183	194	192	195	183	180	170	158	170
Abram	M	99	75	51	38	18	0	0	0	0	23	38	34	112	134	121	154	191	205	207	210	218	193	364	450	614	732	951	0	0	0	0	882	746	871	548	493	531	444	393	375	377	383	379	419
Abrielle	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	75	68	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	884	936	963	0	0	0
Abril	F	0	0	0	0	0	0	0	0	0	0	0	0	138	116	99	85	90	75	69	69	80	77	0	0	0	0	0	0	0	0	0	0	0	0	522	627	711	801	769	865	964	979	881	895
Ace	M	24	0	0	0	0	0	0	0	0	0	0	0	76	101	99	111	126	139	206	185	263	318	815	0	0	0	0	0	0	0	0	0	0	0	714	608	619	567	522	495	379	418	333	290
Achilles	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	58	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	931	912
Acie	M	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ada	F	2949	2161	1439	877	598	377	194	107	74	57	0	0	122	128	132	151	158	178	213	230	244	263	46	58	80	117	157	217	292	432	577	752	0	0	598	573	552	494	488	434	382	357	345	321
Ada	M	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adah	F	116	90	43	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	423	694	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adaline	F	63	43	37	31	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	477	436	496	646	747	816	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	171	180
Adalyn	F	0	0	0	0	0	0	0	0	0	0	0	0	136	210	317	371	407	453	530	618	554	572	0	0	0	0	0	0	0	0	0	0	0	0	526	369	256	214	199	177	152	132	141	134
Adalynn	F	0	0	0	0	0	0	0	0	0	0	0	0	78	104	172	244	337	470	633	659	658	691	0	0	0	0	0	0	0	0	0	0	0	0	845	672	445	327	241	173	128	123	124	116
Adam	M	442	357	354	329	200	113	82	93	596	2736	5175	2654	1432	1369	1273	1314	1342	1328	1334	1353	1317	1278	132	178	185	194	271	357	408	378	137	36	22	40	72	74	81	81	82	82	79	73	75	77
Adamaris	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adan	M	0	0	0	0	0	0	13	10	21	44	68	97	262	273	235	229	220	222	209	198	207	193	0	0	0	0	0	0	938	977	826	683	553	523	299	293	332	334	353	360	372	395	389	420
Adda	F	72	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addie	F	1309	965	720	407	293	183	97	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	107	133	197	239	309	439	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addie	M	26	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Addilyn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	87	102	112	142	244	263	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	788	695	634	542	336	312	376
Addilynn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	97	124	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	731	614	693
Addison	F	0	0	0	0	0	0	0	0	0	0	0	75	2535	2579	2579	2351	2066	1964	1751	1687	1602	1457	0	0	0	0	0	0	0	0	0	0	0	705	12	12	11	13	14	19	24	24	29	34
Addison	M	74	56	40	37	25	0	0	0	0	0	28	81	63	59	0	0	0	0	0	0	0	0	439	544	732	737	873	0	0	0	0	0	854	578	820	866	0	0	0	0	0	0	0	0
Addisyn	F	0	0	0	0	0	0	0	0	0	0	0	0	130	178	199	208	210	194	145	130	127	120	0	0	0	0	0	0	0	0	0	0	0	0	556	432	403	384	374	402	534	584	600	638
Addyson	F	0	0	0	0	0	0	0	0	0	0	0	0	337	351	403	375	321	262	214	179	172	146	0	0	0	0	0	0	0	0	0	0	0	0	240	226	190	209	256	312	379	444	466	547
Adela	F	51	64	59	60	49	36	34	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	514	563	583	652	760	779	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adelaide	F	308	275	244	225	132	58	24	0	0	0	0	0	131	130	177	196	232	258	262	291	312	301	208	236	265	272	366	584	878	0	0	0	0	0	551	567	434	407	344	321	316	273	258	276
Adelbert	M	61	44	28	37	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	648	849	741	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adele	F	262	312	296	396	303	181	124	96	49	0	0	0	0	0	71	115	142	111	91	110	113	90	226	218	231	202	236	311	387	461	743	0	0	0	0	0	908	627	537	642	763	652	657	789
Adelia	F	106	80	59	35	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	449	574	780	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adelina	F	14	33	26	32	30	15	0	0	0	0	0	0	0	0	70	74	101	114	146	143	159	160	986	771	865	808	831	993	0	0	0	0	0	0	0	0	915	885	701	619	530	545	496	505
Adeline	F	326	353	417	518	392	153	53	0	0	0	0	0	214	223	247	278	338	349	384	603	1044	1017	196	202	186	169	201	347	596	0	0	0	0	0	361	351	322	288	239	232	219	135	63	64
Adell	F	26	38	68	73	65	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	705	521	511	559	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adella	F	67	55	48	53	40	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	571	644	624	727	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adelle	F	0	14	23	39	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	889	731	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adelyn	F	0	0	0	0	0	0	0	0	0	0	0	0	125	189	207	267	342	383	420	422	422	394	0	0	0	0	0	0	0	0	0	0	0	0	577	405	385	300	235	212	197	193	196	203
Adelynn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	80	115	125	169	216	267	287	286	277	0	0	0	0	0	0	0	0	0	0	0	0	0	843	633	582	466	367	304	275	283	306
Aden	M	0	0	0	0	0	0	0	0	0	0	0	0	325	330	292	303	290	280	250	218	176	151	0	0	0	0	0	0	0	0	0	0	0	0	254	253	288	290	300	309	335	369	443	498
Adilynn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	978	972
Adin	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adison	F	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0
Aditya	M	0	0	0	0	0	0	0	0	0	0	0	0	78	72	65	57	52	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	757	810	898	966	921	0	0	0	0
Adley	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	85	123	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727	0	0	827	617	598
Adline	F	26	17	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	959	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Admiral	M	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adolf	M	15	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adolfo	M	0	0	0	0	28	32	26	22	31	40	44	68	74	58	0	0	0	0	0	0	0	0	0	0	0	0	846	751	739	764	706	720	694	632	731	874	0	0	0	0	0	0	0	0
Adolph	M	431	391	326	332	200	103	43	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	137	158	196	193	270	369	568	634	837	0	0	0	0	0	0	0	0	0	0	0	0	0
Adolphus	M	82	74	52	39	29	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	456	612	712	829	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adonis	M	0	0	0	0	0	0	0	0	0	0	0	35	58	70	67	84	95	86	82	90	204	211	0	0	0	0	0	0	0	0	0	0	0	865	854	784	796	694	635	696	726	702	394	390
Adrain	M	0	0	0	0	0	0	0	0	0	27	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	968	0	0	0	0	0	0	0	0	0	0	0
Adria	F	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0	0	0	0	0	0
Adrian	F	0	0	0	0	0	0	0	0	35	72	100	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	654	536	777	0	0	0	0	0	0	0	0	0	0
Adrian	M	64	81	108	140	123	102	89	101	199	563	746	1042	1866	1849	1850	1854	1755	1740	1678	1638	1604	1616	479	422	383	338	356	372	392	360	281	143	105	92	56	58	56	56	60	60	59	58	60	58
Adriana	F	0	0	0	0	0	0	0	0	63	184	334	557	640	621	614	588	543	532	469	434	379	361	0	0	0	0	0	0	0	0	642	366	216	146	124	125	129	132	148	151	177	186	216	223
Adriane	F	0	0	0	0	0	0	0	0	0	45	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	944	0	0	0	0	0	0	0	0	0	0	0
Adrianna	F	0	0	0	0	0	0	0	0	0	0	88	289	447	462	442	448	381	360	321	276	241	215	0	0	0	0	0	0	0	0	0	0	588	238	173	171	173	177	207	224	252	292	349	374
Adrianne	F	0	0	0	0	0	0	0	0	35	75	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	640	546	0	0	0	0	0	0	0	0	0	0	0
Adriel	M	0	0	0	0	0	0	0	0	0	0	0	0	102	128	125	150	152	149	174	324	405	380	0	0	0	0	0	0	0	0	0	0	0	0	584	507	515	452	453	470	433	286	240	252
Adrien	M	0	0	0	0	0	0	0	0	0	0	0	0	74	84	71	81	85	72	72	66	62	66	0	0	0	0	0	0	0	0	0	0	0	0	727	695	778	711	701	787	792	855	880	856
Adrienne	F	0	0	27	42	48	129	131	156	207	381	416	196	87	113	101	107	98	88	85	83	87	75	0	0	849	706	659	378	372	340	323	200	180	352	786	637	696	669	715	776	811	848	836	919
Adyson	F	0	0	0	0	0	0	0	0	0	0	0	0	112	101	89	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	690	760	863	0	0	0	0	0	0
Aedan	M	0	0	0	0	0	0	0	0	0	0	0	0	62	62	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	838	884	0	0	0	0	0	0	0
Afton	F	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agatha	F	74	97	98	95	64	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	401	421	436	564	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggie	F	20	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	0	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agnes	F	2533	3004	2779	2260	1550	800	313	139	70	0	0	0	0	0	0	0	0	0	0	0	0	0	51	39	43	48	67	132	223	374	595	0	0	0	0	0	0	0	0	0	0	0	0	0
Agnes	M	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agustin	M	0	0	0	0	22	24	14	17	23	41	48	70	72	67	62	55	55	0	62	56	53	57	0	0	0	0	906	853	927	854	801	706	666	620	740	802	841	916	929	0	872	938	970	943
Ahmad	M	0	0	0	0	0	0	0	0	0	31	60	97	109	137	123	108	113	117	122	125	118	125	0	0	0	0	0	0	0	0	0	794	595	521	559	480	520	586	572	567	568	565	586	561
Ahmed	M	0	0	0	0	0	0	0	0	0	0	35	66	105	109	118	121	137	129	125	148	147	145	0	0	0	0	0	0	0	0	0	0	776	644	576	584	537	527	492	521	545	493	513	515
Ahmir	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0
Aida	F	0	0	0	18	23	15	0	38	45	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	904	994	0	769	766	908	0	0	0	0	0	0	0	0	0	0	0	0
Aidan	M	0	0	0	0	0	0	0	0	0	0	0	218	1814	1403	1072	937	811	675	571	566	535	448	0	0	0	0	0	0	0	0	0	0	0	311	59	72	94	107	115	147	187	185	190	221
Aiden	M	0	0	0	0	0	0	0	0	0	0	0	35	3664	3867	3874	3913	3759	3460	3351	3377	3094	2933	0	0	0	0	0	0	0	0	0	0	0	860	16	12	9	9	10	12	14	13	16	17
Aidyn	M	0	0	0	0	0	0	0	0	0	0	0	0	79	78	82	92	71	57	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	699	724	703	636	797	915	917	0	0	0
Ailani	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	943
Aileen	F	23	69	129	163	184	96	54	49	60	53	63	81	153	166	161	161	153	122	136	152	127	118	820	496	373	325	309	452	594	671	669	775	727	662	483	455	466	466	504	590	562	515	599	646
Aimee	F	50	35	0	0	0	0	0	18	99	578	350	195	88	83	117	104	79	91	85	75	0	0	565	739	0	0	0	0	0	970	490	150	206	353	779	819	622	680	845	752	812	914	0	0
Ainsley	F	0	0	0	0	0	0	0	0	0	0	0	0	169	185	224	225	235	246	251	243	245	234	0	0	0	0	0	0	0	0	0	0	0	0	441	417	353	363	336	332	334	339	344	352
Aisha	F	0	0	0	0	0	0	0	0	0	132	113	100	90	93	104	113	128	129	137	164	157	146	0	0	0	0	0	0	0	0	0	456	491	592	764	742	682	633	576	568	559	491	501	549
Aislinn	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	965	0
Aitana	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	144	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	549	686
Aiyana	F	0	0	0	0	0	0	0	0	0	0	0	0	122	120	135	107	106	94	81	84	90	83	0	0	0	0	0	0	0	0	0	0	0	0	595	607	539	664	672	733	845	837	794	849
Aiyanna	F	0	0	0	0	0	0	0	0	0	0	0	0	0	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	936	0	0	0	0	0	0	0
Aja	F	0	0	0	0	0	0	0	0	0	25	57	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995	755	903	0	0	0	0	0	0	0	0	0	0
Akeelah	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akeem	M	0	0	0	0	0	0	0	0	0	0	46	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	732	0	0	0	0	0	0	0	0	0	0
Akira	F	0	0	0	0	0	0	0	0	0	0	0	0	99	83	80	69	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	823	833	943	951	0	0	0	0	0
Al	M	91	94	134	90	64	90	79	80	66	42	19	0	0	0	0	0	0	0	0	0	0	0	387	393	332	440	514	399	416	412	493	693	954	0	0	0	0	0	0	0	0	0	0	0
Alaia	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	124	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	615	636
Alaina	F	0	0	0	0	0	0	0	0	0	0	117	162	354	319	372	505	488	447	436	456	448	432	0	0	0	0	0	0	0	0	0	0	478	406	223	250	207	155	162	180	190	176	184	182
Alan	M	23	60	102	148	315	770	1694	2087	1597	740	711	598	712	688	629	591	578	663	627	622	668	635	830	523	402	323	196	115	55	45	56	110	108	145	135	142	156	163	170	153	170	167	154	159
Alana	F	0	0	0	0	0	0	35	30	49	105	184	230	479	460	453	429	450	446	419	407	398	373	0	0	0	0	0	0	764	861	744	522	353	301	166	173	170	186	174	182	198	202	206	213
Alani	F	0	0	0	0	0	0	0	0	0	0	0	0	71	92	98	108	126	115	118	150	161	184	0	0	0	0	0	0	0	0	0	0	0	0	913	749	713	663	584	614	612	525	486	444
Alanis	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanna	F	0	0	0	0	0	0	0	0	0	34	77	126	161	157	143	146	158	151	147	155	140	147	0	0	0	0	0	0	0	0	0	913	638	494	461	475	518	508	489	503	524	508	564	543
Alannah	F	0	0	0	0	0	0	0	0	0	0	0	0	68	64	65	72	79	76	71	93	81	76	0	0	0	0	0	0	0	0	0	0	0	0	938	991	964	914	846	855	943	756	874	913
Alaya	F	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	73	83	86	87	98	103	116	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	895	812	794	801	725	703	661
Alayah	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	94	107	116	138	135	147	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	737	663	609	558	571	536	537
Alayna	F	0	0	0	0	0	0	0	0	0	0	0	78	276	286	333	357	389	396	386	366	364	358	0	0	0	0	0	0	0	0	0	0	0	683	285	277	235	223	203	206	217	223	221	228
Alaysia	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	68	64	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	0	943	983	987	0	0	0
Alba	F	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albert	F	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albert	M	6227	5696	5323	5005	4234	2951	2027	1313	946	659	490	345	194	176	172	182	183	177	174	174	163	186	16	16	16	17	21	32	47	76	101	127	151	215	372	404	408	392	401	421	434	440	474	430
Alberta	F	348	484	863	839	706	503	273	121	63	0	0	0	0	0	0	0	0	0	0	0	0	0	189	174	116	120	146	173	244	400	643	0	0	0	0	0	0	0	0	0	0	0	0	0
Albertha	F	0	28	63	52	50	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	541	628	647	727	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albertina	F	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albertine	F	31	42	33	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	665	792	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alberto	M	0	17	44	46	67	59	55	83	143	214	267	324	228	189	168	167	155	149	135	131	131	111	0	981	690	648	499	523	491	405	332	275	237	230	338	386	416	419	446	471	513	546	556	610
Albin	M	49	69	50	68	51	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	479	623	511	588	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albina	F	68	80	75	86	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	448	491	466	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcide	M	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alda	F	50	60	61	62	49	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	533	550	574	653	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alden	M	33	37	55	87	78	61	35	23	17	0	0	22	52	58	62	61	74	84	84	86	99	105	709	720	594	446	460	513	624	750	880	0	0	970	916	869	840	864	773	704	713	720	664	636
Aldo	M	0	0	0	52	51	13	0	0	16	18	36	50	107	113	125	110	123	126	102	109	100	81	0	0	0	602	590	982	0	0	894	938	767	739	569	559	512	572	535	532	643	617	660	751
Aldona	F	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aleah	F	0	0	0	0	0	0	0	0	0	0	0	44	115	140	168	205	188	198	190	178	177	159	0	0	0	0	0	0	0	0	0	0	0	902	627	519	455	391	420	394	422	445	457	508
Alec	M	29	17	32	28	18	0	0	13	25	25	80	644	181	176	166	166	153	158	155	167	156	148	757	975	807	861	950	0	0	928	765	865	508	137	390	405	418	421	449	453	469	455	491	507
Alecia	F	0	0	0	0	0	0	0	0	38	66	85	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819	685	609	873	0	0	0	0	0	0	0	0	0	0
Aleena	F	0	0	0	0	0	0	0	0	0	0	0	0	109	126	130	136	148	141	158	173	155	146	0	0	0	0	0	0	0	0	0	0	0	0	664	580	558	542	518	533	495	459	507	548
Aleigha	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	68	78	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	953	859	885	0	0	0	0
Alejandra	F	0	0	0	0	0	0	0	0	0	56	146	474	315	290	297	234	199	184	180	176	182	161	0	0	0	0	0	0	0	0	0	759	412	166	255	272	278	344	393	420	446	451	445	502
