Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Micaela	F	0	0	0	0	0	0	0	0	0	0	30	109	65	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	553	968	0	956	0	0	0	0	0	0	0
Micah	F	0	0	0	0	0	0	0	0	0	0	42	80	73	83	79	72	77	74	67	84	70	69	0	0	0	0	0	0	0	0	0	0	872	671	892	818	847	912	876	880	990	834	968	982
Micah	M	0	0	0	0	0	0	0	0	29	208	293	341	820	852	884	944	944	929	910	934	877	954	0	0	0	0	0	0	0	0	719	282	221	221	123	118	108	104	103	107	109	108	115	107
Michael	F	0	0	0	0	0	0	51	58	95	151	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	600	501	419	428	0	0	0	0	0	0	0	0	0	0	0
Michael	M	1543	1632	1819	2268	1700	2635	11333	20817	21666	21102	17608	11478	4826	4558	4310	4220	4069	3930	3861	3615	3562	3277	50	54	45	44	52	35	9	2	1	1	1	1	2	3	3	6	8	7	7	9	8	12
Michaela	F	0	0	0	0	0	0	0	0	0	33	122	578	216	210	202	196	181	188	165	161	170	156	0	0	0	0	0	0	0	0	0	917	466	141	357	370	392	409	435	410	478	496	473	519
Michal	M	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michale	M	0	0	0	0	0	0	0	13	12	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	948	940	0	0	0	0	0	0	0	0	0	0	0	0
Micheal	M	62	49	76	92	65	66	358	1018	832	711	497	320	137	131	113	106	90	89	70	67	61	63	491	592	484	436	508	485	171	90	109	119	149	234	475	499	553	594	664	682	814	840	897	886
Michel	M	0	0	0	0	0	0	31	57	53	42	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	487	550	696	828	0	0	0	0	0	0	0	0	0	0	0
Michele	F	0	0	0	0	0	0	382	1042	2255	1684	459	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	103	50	51	164	436	0	0	0	0	0	0	0	0	0	0
Michell	F	0	0	0	0	0	0	0	0	36	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	726	0	0	0	0	0	0	0	0	0	0	0	0
Michelle	F	0	0	0	0	0	0	188	1162	5399	7417	4090	2158	782	747	624	552	488	481	438	427	397	370	0	0	0	0	0	0	296	93	9	4	13	32	103	104	125	144	163	168	187	192	208	214
